,CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,SEATLOC,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,EYEWEAR,POSTURE,BELTUSE
31346,27750,10,168,1-10-2022-168-01,1,1,7,98,20,999,127,1,8,2,9,99,0
31347,27750,10,168,1-10-2022-168-01,1,1,4,22,31,999,999,2,8,2,9,9,0
31348,27767,21,59,1-21-2022-059-03,3,1,1,11,25,172,75,2,8,1,9,99,99
31349,27767,21,59,1-21-2022-059-03,3,2,1,11,26,154,59,2,8,1,9,99,4
31350,27764,26,102,1-26-2022-102-02,2,2,1,11,55,165,69,2,8,1,9,99,4
31351,26051,48,11,1-48-2022-011-04,4,1,1,11,38,175,70,1,8,1,1,0,4
31352,26053,77,45,1-77-2022-045-08,8,2,1,11,41,999,71,1,8,1,9,99,4
31353,26053,77,45,1-77-2022-045-08,8,2,2,13,999,999,999,9,8,2,9,99,4
31354,26053,77,45,1-77-2022-045-08,8,1,1,11,64,175,72,1,8,1,9,99,99
31355,26568,18,56,1-18-2022-056-03,3,2,1,11,72,999,138,2,8,1,9,99,4
31356,26568,18,56,1-18-2022-056-03,3,1,1,11,17,999,999,2,8,1,9,99,4
31357,26569,18,57,1-18-2022-057-02,2,2,1,11,36,165,94,1,8,1,0,0,4
31358,26571,25,64,1-25-2022-064-06,6,1,1,11,23,999,999,1,8,1,9,99,4
31359,27808,25,106,1-25-2022-106-07,7,1,1,11,28,999,999,2,8,1,9,99,4
31360,27808,25,106,1-25-2022-106-07,7,2,1,11,41,999,999,1,8,1,9,99,99
31361,27811,27,86,1-27-2022-086-03,3,1,1,11,81,163,51,2,8,1,1,0,4
31362,27811,27,86,1-27-2022-086-03,3,1,2,13,15,180,73,1,8,2,0,0,4
31363,26572,25,65,1-25-2022-065-10,10,1,1,11,24,999,999,1,8,1,9,99,99
31364,26574,31,52,1-31-2022-052-07,7,1,1,11,22,999,999,1,8,1,9,99,0
31365,26575,73,64,1-73-2022-064-05,5,1,1,11,21,999,84,1,8,1,9,99,4
31366,26575,73,64,1-73-2022-064-05,5,1,2,13,20,999,91,2,8,2,9,99,4
31367,26054,59,32,1-59-2022-032-05,5,1,1,11,21,999,999,2,8,1,9,99,4
31368,26054,59,32,1-59-2022-032-05,5,2,1,11,71,165,77,2,8,1,9,99,4
31369,26056,54,48,1-54-2022-048-04,4,1,1,11,35,152,48,2,8,1,0,0,4
31370,26059,17,46,1-17-2022-046-09,9,1,3,22,39,999,999,2,8,2,9,99,99
31371,26059,17,46,1-17-2022-046-09,9,1,1,11,21,999,999,1,8,1,9,99,99
31372,26110,26,69,1-26-2022-069-06,6,1,1,11,37,165,73,2,8,1,9,99,4
31373,26110,26,69,1-26-2022-069-06,6,2,1,11,21,178,80,1,8,1,9,99,99
31374,26111,26,70,1-26-2022-070-03,3,1,1,11,30,168,66,2,8,1,9,99,4
31375,26111,26,70,1-26-2022-070-03,3,1,2,21,5,999,999,1,8,2,9,10,99
31376,26111,26,70,1-26-2022-070-03,3,2,1,11,58,188,113,1,8,1,9,99,99
31377,26059,17,46,1-17-2022-046-09,9,1,2,13,34,999,999,1,8,2,9,99,99
31378,26065,19,81,1-19-2022-081-01,1,1,1,11,30,999,999,1,8,1,9,99,0
31379,26070,11,33,1-11-2022-033-07,7,1,1,11,51,999,999,1,8,1,9,99,4
31380,26070,11,33,1-11-2022-033-07,7,2,1,11,37,999,999,2,8,1,9,99,99
31381,26070,11,33,1-11-2022-033-07,7,1,2,99,999,999,999,9,8,2,9,99,99
31382,26070,11,33,1-11-2022-033-07,7,1,3,99,999,999,999,9,8,2,9,99,99
31383,26071,11,34,1-11-2022-034-02,2,1,1,11,61,999,999,1,8,1,9,99,0
31384,26071,11,34,1-11-2022-034-02,2,2,1,11,45,999,999,1,8,1,9,99,99
31385,26071,11,34,1-11-2022-034-02,2,2,2,13,12,999,999,1,8,2,9,99,99
31386,26071,11,34,1-11-2022-034-02,2,3,1,11,47,999,999,1,8,1,9,99,99
31387,26073,24,75,1-24-2022-075-04,4,2,1,11,64,999,999,2,8,1,9,99,4
31388,26076,52,70,1-52-2022-070-03,3,1,1,11,80,180,120,2,8,1,1,0,4
31389,26076,52,70,1-52-2022-070-03,3,2,1,11,56,168,98,1,8,1,1,0,4
31390,26079,52,73,1-52-2022-073-09,9,1,1,11,19,999,999,1,8,1,9,99,0
31391,26079,52,73,1-52-2022-073-09,9,1,2,13,39,999,90,1,8,2,9,99,0
31392,26079,52,73,1-52-2022-073-09,9,1,3,21,19,999,999,1,8,2,9,99,99
31393,26085,10,75,1-10-2022-075-02,2,1,1,11,27,163,61,2,8,1,9,99,99
31394,26085,10,75,1-10-2022-075-02,2,1,2,13,56,184,114,1,8,2,9,99,99
31395,26575,73,64,1-73-2022-064-05,5,2,1,11,54,999,104,1,8,1,9,99,4
31396,26577,33,18,1-33-2022-018-03,3,1,1,11,55,160,54,1,8,1,9,99,99
31397,26580,20,128,1-20-2022-128-09,9,2,1,11,25,173,88,1,8,1,9,99,4
31398,26583,29,13,1-29-2022-013-03,3,2,2,13,68,165,78,2,8,2,0,0,4
31399,26583,29,13,1-29-2022-013-03,3,1,1,11,35,163,70,2,8,1,0,0,0
31400,27816,10,171,1-10-2022-171-06,6,1,1,11,27,999,999,2,8,1,9,99,4
31401,27816,10,171,1-10-2022-171-06,6,2,1,11,20,999,999,1,8,1,9,99,99
31402,27816,10,171,1-10-2022-171-06,6,2,2,13,22,999,999,1,8,2,9,99,99
31403,27817,66,98,1-66-2022-098-09,9,1,1,11,38,999,108,1,8,1,9,99,0
31404,27817,66,98,1-66-2022-098-09,9,1,2,13,15,999,70,2,8,2,9,99,4
31405,24830,26,12,1-26-2022-012-05,5,1,1,11,27,175,81,1,8,1,9,99,99
31406,24830,26,12,1-26-2022-012-05,5,2,1,11,67,183,101,1,8,1,9,99,4
31407,24810,10,15,1-10-2022-015-10,10,1,1,11,59,999,999,1,8,1,9,99,0
31408,24833,26,15,1-26-2022-015-07,7,1,1,11,29,165,61,2,8,1,9,99,4
31409,24836,24,11,1-24-2022-011-06,6,1,1,11,22,183,77,1,8,1,9,99,0
31410,26085,10,75,1-10-2022-075-02,2,2,1,11,42,999,999,2,8,1,9,99,99
31411,26085,10,75,1-10-2022-075-02,2,2,2,21,65,168,86,2,8,2,9,99,99
31412,26087,10,77,1-10-2022-077-03,3,2,1,11,18,999,999,1,8,1,9,99,4
31413,26087,10,77,1-10-2022-077-03,3,3,1,11,33,999,999,2,8,1,9,99,4
31414,26088,10,78,1-10-2022-078-05,5,2,1,11,61,163,81,2,8,1,9,99,4
31415,26090,16,47,1-16-2022-047-06,6,2,1,11,56,999,999,2,8,1,9,99,4
31416,26090,16,47,1-16-2022-047-06,6,1,1,11,77,999,999,1,8,1,9,99,0
31417,26091,32,49,1-32-2022-049-05,5,2,3,23,9,999,999,1,8,2,9,99,4
31418,26091,32,49,1-32-2022-049-05,5,1,1,11,23,999,999,2,8,1,9,99,99
31419,26091,32,49,1-32-2022-049-05,5,2,1,11,35,157,105,2,8,1,9,99,4
31420,26091,32,49,1-32-2022-049-05,5,2,2,13,11,999,999,1,8,2,9,99,4
31421,26093,73,48,1-73-2022-048-06,6,1,1,11,62,185,88,1,8,1,1,0,4
31422,26093,73,48,1-73-2022-048-06,6,1,2,13,65,170,60,2,8,2,1,0,4
31423,26094,27,43,1-27-2022-043-03,3,1,1,11,63,157,61,2,8,1,1,0,4
31424,26102,20,96,1-20-2022-096-03,3,1,1,11,36,165,89,2,8,1,9,99,4
31425,26102,20,96,1-20-2022-096-03,3,3,1,11,28,173,109,1,8,1,9,99,99
31426,26105,33,8,1-33-2022-008-08,8,1,1,11,51,183,91,1,8,1,9,99,99
31427,26108,15,10,1-15-2022-010-02,2,1,1,11,23,165,62,1,8,1,0,0,4
31428,25634,10,59,1-10-2022-059-07,7,2,1,11,30,999,999,2,8,1,9,99,0
31429,25686,25,26,1-25-2022-026-09,9,1,1,11,38,999,82,1,8,1,9,99,4
31430,25686,25,26,1-25-2022-026-09,9,2,1,11,38,999,107,1,8,1,9,99,4
31431,25377,76,30,1-76-2022-030-10,10,1,1,11,18,999,999,1,8,1,9,99,99
31432,25640,16,30,1-16-2022-030-03,3,1,1,11,27,999,999,2,8,1,9,99,4
31433,26190,48,13,1-48-2022-013-04,4,1,1,11,50,183,109,1,8,1,3,0,4
31434,26201,52,80,1-52-2022-080-10,10,1,1,11,32,999,999,1,8,1,9,99,0
31435,26224,73,51,1-73-2022-051-06,6,1,1,11,80,999,999,2,8,1,9,99,4
31436,26224,73,51,1-73-2022-051-06,6,2,1,11,46,999,999,2,8,1,9,99,99
31437,26224,73,51,1-73-2022-051-06,6,2,2,13,43,999,176,2,8,2,9,99,99
31438,26393,59,40,1-59-2022-040-03,3,1,1,11,73,163,136,2,8,1,0,0,4
31439,26393,59,40,1-59-2022-040-03,3,2,1,11,34,999,999,1,8,1,9,99,99
31440,26407,13,80,1-13-2022-080-09,9,1,1,11,67,178,77,1,8,1,9,99,4
31441,26410,14,53,1-14-2022-053-08,8,1,1,11,17,999,999,1,8,1,9,99,99
31442,26410,14,53,1-14-2022-053-08,8,1,2,13,18,999,999,1,8,2,9,99,99
31443,26111,26,70,1-26-2022-070-03,3,2,2,13,82,999,999,2,8,2,9,99,99
31444,26113,21,35,1-21-2022-035-03,3,1,1,11,49,160,86,2,8,1,0,0,4
31445,26113,21,35,1-21-2022-035-03,3,2,1,11,47,157,45,2,8,1,9,99,99
31446,26113,21,35,1-21-2022-035-03,3,2,2,13,51,999,999,1,8,2,9,99,99
31447,27823,73,112,1-73-2022-112-06,6,1,1,11,59,999,999,1,8,1,9,99,4
31448,26615,52,101,1-52-2022-101-08,8,1,1,11,26,180,115,1,8,1,9,99,0
31449,26617,52,103,1-52-2022-103-06,6,1,1,11,85,999,999,2,8,1,9,99,4
31450,26617,52,103,1-52-2022-103-06,6,2,1,11,70,175,102,1,8,1,1,0,0
31451,26617,52,103,1-52-2022-103-06,6,2,2,22,8,130,36,1,8,2,0,0,4
31452,24850,77,9,1-77-2022-009-03,3,2,1,11,24,178,77,2,8,1,0,0,4
31453,24856,59,8,1-59-2022-008-02,2,1,1,11,40,170,71,2,8,1,0,0,4
31454,24856,59,8,1-59-2022-008-02,2,2,1,11,39,999,999,1,8,1,9,99,99
31455,26142,24,76,1-24-2022-076-08,8,2,1,11,59,183,90,1,8,1,9,99,99
31456,26145,52,75,1-52-2022-075-03,3,1,1,11,27,183,85,1,8,1,0,0,0
31457,26145,52,75,1-52-2022-075-03,3,1,2,13,20,160,68,2,8,2,0,0,0
31458,26145,52,75,1-52-2022-075-03,3,2,1,11,18,170,65,2,8,1,9,99,0
31459,26116,31,39,1-31-2022-039-04,4,1,1,11,57,163,77,2,8,1,1,0,4
31460,26116,31,39,1-31-2022-039-04,4,1,2,13,49,165,91,1,8,2,1,0,4
31461,26119,76,48,1-76-2022-048-07,7,3,1,11,18,999,999,1,8,1,9,99,99
31462,26119,76,48,1-76-2022-048-07,7,3,2,13,18,999,999,1,8,2,9,99,99
31463,26122,20,99,1-20-2022-099-09,9,1,1,11,18,165,66,1,8,1,9,99,99
31464,26617,52,103,1-52-2022-103-06,6,2,3,23,14,163,59,1,8,2,0,0,4
31465,26620,25,67,1-25-2022-067-06,6,1,1,11,26,999,54,1,8,1,9,99,4
31466,26623,10,111,1-10-2022-111-03,3,2,1,11,42,999,999,2,8,1,9,99,99
31467,26623,10,111,1-10-2022-111-03,3,3,1,11,42,999,999,1,8,1,9,99,4
