CASEID,PSU,CASENO,CASENUMBER,CATEGORY,EVENTNO,VEHNUM,CLASS1,GAD1,CLASS2,GAD2
6346,23,10,1-23-2017-010-07,7,1,1,4,R,0,0
6342,24,12,1-24-2017-012-03,3,1,2,31,F,4,L
6345,23,9,1-23-2017-009-03,3,1,1,3,F,0,0
6348,32,12,1-32-2017-012-07,7,1,1,4,F,3,B
6348,32,12,1-32-2017-012-07,7,2,2,3,F,3,B
6347,32,11,1-32-2017-011-07,7,1,1,3,F,0,0
6347,32,11,1-32-2017-011-07,7,2,1,3,R,0,0
6349,16,11,1-16-2017-011-02,2,1,1,3,F,4,F
6350,16,12,1-16-2017-012-07,7,1,1,4,F,14,R
6351,29,4,1-29-2017-004-07,7,1,1,3,L,31,F
6351,29,4,1-29-2017-004-07,7,2,1,3,R,0,0
6351,29,4,1-29-2017-004-07,7,3,1,3,R,0,0
6353,17,12,1-17-2017-012-07,7,1,1,20,F,0,0
6355,22,13,1-22-2017-013-06,6,1,1,3,F,0,0
6359,33,9,1-33-2017-009-03,3,1,1,4,F,0,0
6360,33,10,1-33-2017-010-06,6,1,1,2,F,31,B
6356,22,14,1-22-2017-014-01,1,1,1,30,R,60,F
6356,22,14,1-22-2017-014-01,1,2,1,30,L,0,N
6362,19,19,1-19-2017-019-06,6,1,1,4,F,1,L
6363,19,20,1-19-2017-020-04,4,1,1,30,F,20,B
6367,12,7,1-12-2017-007-04,4,1,1,3,F,0,0
6354,21,6,1-21-2017-006-04,4,1,2,14,F,15,F
6368,30,14,1-30-2017-014-07,7,1,1,4,L,31,R
6366,20,11,1-20-2017-011-01,1,1,1,14,T,0,0
6372,20,12,1-20-2017-012-07,7,3,1,2,L,0,0
6372,20,12,1-20-2017-012-07,7,4,1,2,L,0,0
6372,20,12,1-20-2017-012-07,7,1,1,2,L,0,0
6372,20,12,1-20-2017-012-07,7,2,1,2,L,0,0
6370,13,11,1-13-2017-011-08,8,1,1,2,F,0,0
6370,13,11,1-13-2017-011-08,8,2,1,2,L,0,0
6364,18,7,1-18-2017-007-02,2,1,1,1,F,0,0
6371,15,7,1-15-2017-007-02,2,1,1,14,F,14,B
6371,15,7,1-15-2017-007-02,2,2,2,14,F,2,B
6375,24,13,1-24-2017-013-07,7,1,1,3,F,5,L
6375,24,13,1-24-2017-013-07,7,2,2,5,L,0,0
6344,10,5,1-10-2017-005-02,2,1,1,15,F,0,0
6344,10,5,1-10-2017-005-02,2,2,1,15,F,0,0
6344,10,5,1-10-2017-005-02,2,3,1,15,F,0,0
6344,10,5,1-10-2017-005-02,2,4,1,15,F,0,0
6369,30,15,1-30-2017-015-04,4,1,1,2,F,14,B
6369,30,15,1-30-2017-015-04,4,2,2,14,T,0,N
6377,26,6,1-26-2017-006-04,4,1,1,3,F,0,0
6383,14,8,1-14-2017-008-08,8,1,1,20,F,0,0
6383,14,8,1-14-2017-008-08,8,3,1,20,F,0,0
6383,14,8,1-14-2017-008-08,8,2,1,20,R,0,0
6385,23,12,1-23-2017-012-03,3,1,1,4,F,31,L
6393,32,14,1-32-2017-014-04,4,1,1,3,F,3,B
6393,32,14,1-32-2017-014-04,4,2,1,3,R,3,B
6393,32,14,1-32-2017-014-04,4,3,1,3,F,0,0
6393,32,14,1-32-2017-014-04,4,4,1,3,F,0,0
6393,32,14,1-32-2017-014-04,4,5,2,3,F,0,0
6391,24,15,1-24-2017-015-05,5,1,1,14,F,68,R
6386,16,13,1-16-2017-013-09,9,1,1,4,F,20,L
6386,16,13,1-16-2017-013-09,9,2,1,4,T,0,N
6392,32,13,1-32-2017-013-01,1,1,1,16,F,45,B
6396,12,8,1-12-2017-008-03,3,1,1,14,R,31,F
6390,24,14,1-24-2017-014-01,1,1,1,68,F,4,F
6387,16,14,1-16-2017-014-06,6,1,1,14,F,4,B
6387,16,14,1-16-2017-014-06,6,2,2,4,F,2,B
6388,10,6,1-10-2017-006-03,3,1,1,14,L,0,0
6394,19,21,1-19-2017-021-03,3,1,1,4,R,15,F
6394,19,21,1-19-2017-021-03,3,2,1,4,R,15,L
6394,19,21,1-19-2017-021-03,3,3,2,15,F,0,0
6395,19,22,1-19-2017-022-02,2,1,1,14,R,14,F
6382,28,7,1-28-2017-007-03,3,1,2,14,F,3,B
6397,29,5,1-29-2017-005-03,3,1,1,3,F,3,B
6397,29,5,1-29-2017-005-03,3,2,2,3,F,3,B
6398,31,6,1-31-2017-006-07,7,1,1,20,L,31,F
6402,33,12,1-33-2017-012-04,4,2,1,3,F,0,0
6402,33,12,1-33-2017-012-04,4,3,1,3,L,14,R
6402,33,12,1-33-2017-012-04,4,1,1,3,F,0,0
6402,33,12,1-33-2017-012-04,4,4,1,3,B,0,0
6384,23,11,1-23-2017-011-09,9,1,1,3,F,3,L
6384,23,11,1-23-2017-011-09,9,3,1,3,R,0,0
6384,23,11,1-23-2017-011-09,9,4,1,3,R,0,0
6384,23,11,1-23-2017-011-09,9,2,2,3,F,0,0
6403,17,13,1-17-2017-013-03,3,1,1,31,F,0,0
6403,17,13,1-17-2017-013-03,3,2,1,31,L,0,N
6403,17,13,1-17-2017-013-03,3,3,1,31,T,0,0
